trial,stim1feed,stim2feed,corr_stim
1,1,2,1
2,1,2,1
3,2,1,2
4,1,2,1
5,1,2,1
6,1,2,1
7,2,1,2
8,1,2,1
9,1,2,1
10,1,2,1
11,1,2,1
12,2,1,2
13,1,2,1
14,1,2,1
15,1,2,1
16,1,2,1
17,2,1,2
18,1,2,1
19,1,2,1
20,1,2,1
21,1,2,1
22,1,2,1
23,2,1,2
24,1,2,1
25,1,2,1
26,1,2,1
27,1,2,1
28,1,2,1
29,2,1,2
30,1,2,1
31,1,2,1
32,2,1,2
33,1,2,1
34,1,2,1
35,1,2,1
36,2,1,2
37,1,2,1
38,1,2,1
39,1,2,1
40,1,2,1
41,2,1,2
42,2,1,2
43,1,2,1
44,2,1,2
45,2,1,2
46,2,1,2
47,1,2,1
48,2,1,2
49,2,1,2
50,2,1,2
51,2,1,2
52,2,1,2
53,1,2,1
54,2,1,2
55,2,1,2
56,2,1,2
57,1,2,1
58,2,1,2
59,2,1,2
60,2,1,2
61,2,1,2
62,2,1,2
63,2,1,2
64,1,2,1
65,2,1,2
66,2,1,2
67,2,1,2
68,1,2,1
69,2,1,2
70,2,1,2
71,2,1,2
72,1,2,1
73,2,1,2
74,2,1,2
75,2,1,2
76,2,1,2
77,1,2,1
78,2,1,2
79,2,1,2
80,2,1,2